"April 18, 2021 at 01:44PM",ece477,100343,71.2011F,48.37%,223
"April 18, 2021 at 02:14PM",ece477,100344,70.68892F,49.53%,259
"April 18, 2021 at 02:44PM",ece477,100345,70.36881F,49.76%,256
"April 18, 2021 at 03:14PM",ece477,100346,70.27277F,50.10%,281
"April 18, 2021 at 03:44PM",ece477,100347,70.27277F,50.49%,282
"April 18, 2021 at 04:14PM",ece477,100348,70.30479F,49.96%,278
"April 18, 2021 at 04:23PM",ece477,1,73F,30%,50000
"April 18, 2021 at 04:23PM",ece477,d,73F,30%,50000
"April 18, 2021 at 04:23PM",ece477,3,73F,30%,50000
"April 18, 2021 at 04:23PM",ece477,4,73F,30%,50000
"April 18, 2021 at 04:24PM",ece477,5,73F,30%,50000
"April 18, 2021 at 04:24PM",ece477,6�7C||73F,,50000,
"April 18, 2021 at 04:24PM",ece477,,30%,50000,
"April 18, 2021 at 04:24PM",ece477,1,73F,30%,50000
"April 18, 2021 at 04:25PM",ece477,2,73F,30%,50000
"April 18, 2021 at 04:25PM",ece477,1,73F,30%,50000
"April 18, 2021 at 04:25PM",ece477,2%7C%7C%7�73Ffval�e2=31%25,,50000,
"April 18, 2021 at 04:26PM",ece477,4,73F,31%,50000
"April 18, 2021 at 04:26PM",ece477,,31%,50000,
"April 18, 2021 at 04:26PM",ece477,1,73F,31%,50000
"April 18, 2021 at 04:27PM",ece477,2,73F,31%,50000
"April 18, 2021 at 04:27PM",ece477,3,73F,31%,50000
"April 18, 2021 at 04:27PM",ece477,,30%,50000,
"April 18, 2021 at 04:27PM",ece477,5,73F,31%,50000
"April 18, 2021 at 04:28PM",ece477,6,73F,31%,50000
"April 18, 2021 at 04:44PM",ece477,100349,70.27277F,50.33%,272
"April 18, 2021 at 04:52PM",ece477,1,73F,31%,50000
"April 18, 2021 at 04:53PM",ece477,1,73F,,50000
"April 18, 2021 at 04:55PM",ece477,1,73F,30%,50000
"April 18, 2021 at 05:00PM",ece477,1,73F,30%,50000
"April 18, 2021 at 05:04PM",ece477,1,73F,,50000
"April 18, 2021 at 05:07PM",ece477,2,73F,30%,50000
"April 18, 2021 at 05:10PM",ece477,3,73F,31%,50000
"April 18, 2021 at 05:14PM",ece477,100350,70.17674F,49.73%,267
"April 18, 2021 at 05:17PM",ece477,1,73F,31%,50000
"April 18, 2021 at 05:19PM",ece477,2||E7C73F,31%,50000,
"April 18, 2021 at 05:22PM",ece477,3,73F,30%,50000
"April 18, 2021 at 05:27PM",ece477,5,73F,32%,50000
"April 18, 2021 at 05:30PM",ece477,6,73F,,50000
"April 18, 2021 at 05:32PM",ece477,7,73F,31%,50000
"April 18, 2021 at 05:35PM",ece477,8,73F,32%,50000
"April 18, 2021 at 05:38PM",ece477,9,73F,32%,50000
"April 18, 2021 at 05:40PM",ece477,10,73F,33%,50000
"April 18, 2021 at 05:43PM",ece477,11,73F,,50000
"April 18, 2021 at 05:44PM",ece477,100351,70.11272F,49.72%,269
"April 18, 2021 at 05:46PM",ece477,,34%,50000,
"April 18, 2021 at 05:48PM",ece477,13\||73F,34%,50000,
"April 18, 2021 at 05:51PM",ece477,14,73F,34%,50000
"April 18, 2021 at 05:53PM",ece477,15,73F,35%,50000
"April 18, 2021 at 05:56PM",ece477,16,73F,34%,50000
"April 18, 2021 at 05:59PM",ece477,,34%,50000,
